GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PlantMarket REST API,com.example.restapi.client,AppUserManager,158,86,12,3,49,18,10,5,1,5
PlantMarket REST API,com.example.restapi.controller,SalesController,0,62,0,0,0,18,0,3,0,3
PlantMarket REST API,com.example.restapi.controller,GlobalExceptionHandler,41,3,0,0,6,1,3,1,3,1
PlantMarket REST API,com.example.restapi.controller,CommentController,0,46,0,0,0,10,0,5,0,5
PlantMarket REST API,com.example.restapi.controller,CartController,11,56,0,0,3,15,1,5,1,5
PlantMarket REST API,com.example.restapi.controller,CategoryController,0,11,0,0,0,4,0,2,0,2
PlantMarket REST API,com.example.restapi.controller,PostController,10,90,2,2,3,23,3,6,1,6
PlantMarket REST API,com.example.restapi.controller,PaymentController.PaymentResponse,0,15,0,0,0,6,0,3,0,3
PlantMarket REST API,com.example.restapi.controller,ReceiptController,0,46,0,0,0,16,0,4,0,4
PlantMarket REST API,com.example.restapi.controller,AppUserController,137,20,4,0,31,8,11,4,9,4
PlantMarket REST API,com.example.restapi.controller,ReviewController,0,32,0,0,0,8,0,4,0,4
PlantMarket REST API,com.example.restapi.controller,PaymentController,11,51,0,0,2,13,0,3,0,3
PlantMarket REST API,com.example.restapi.controller,ItemController,41,58,2,2,14,15,3,6,1,6
PlantMarket REST API,com.example.restapi.service,CartService,17,388,2,20,1,74,4,24,2,15
PlantMarket REST API,com.example.restapi.service,ItemService,17,200,4,18,2,52,6,17,2,10
PlantMarket REST API,com.example.restapi.service,ReviewService,22,148,4,10,3,39,6,11,2,8
PlantMarket REST API,com.example.restapi.service,ReceiptService,13,216,0,4,3,52,1,11,1,9
PlantMarket REST API,com.example.restapi.service,SaleService,0,84,0,2,0,24,0,6,0,5
PlantMarket REST API,com.example.restapi.service,PaymentService,7,84,8,22,3,19,8,12,0,5
PlantMarket REST API,com.example.restapi.service,OrderStateService,42,169,11,15,9,46,11,9,2,5
PlantMarket REST API,com.example.restapi.service,CommentService,10,140,0,4,0,33,2,10,2,8
PlantMarket REST API,com.example.restapi.service,PostService,3,184,2,12,0,42,2,16,0,11
PlantMarket REST API,com.example.restapi.service,AppUserService,503,157,13,7,104,34,15,12,7,10
